common.name,sci.name,guild,guild2
Western Grebe,Aechmophorus occidentalis,Piscivore,
Clark's Grebe,Aechmophorus clarkii,Piscivore,
Western/Clark's Grebe,Aechmophorus spp.,Piscivore,
Red-necked Grebe,Podiceps grisegena,Piscivore,
Horned Grebe,Podiceps auritus,Diving benthivore,
Horned/Eared Grebe,Podiceps spp.,Diving benthivore,
Eared Grebe,Podiceps nigricollis,Diving benthivore,
Pied-billed Grebe,Podilymbus podiceps,Diving benthivore,
Common Loon,Gavia immer,Piscivore,
Loon,Gavia spp.,Piscivore,
Red-throated/Pacific Loon,Gavia spp.,Piscivore,
Pacific/Common Loon,Gavia spp.,Piscivore,
Yellow-billed Loon,Gavia adamsii,Piscivore,
Pacific Loon,Gavia pacifica,Piscivore,
Red-throated Loon,Gavia stellata,Piscivore,
Rhinoceros Auklet,Cerorhinca monocerata,Piscivore,
Cassin's Auklet,Ptychoramphus aleuticus,Planktivore,
Common Murre,Uria aalge,Piscivore,Planktivore
Bonaparte's Gull,Chroicocephalus philadelphia,Piscivore,Planktivore
Caspian Tern,Hydroprogne caspia,Piscivore,
Forster's Tern,Sterna forsteri,Piscivore,
Cormorant,Phalacrocorax spp.,Piscivore,
Double-crested Cormorant,Phalacrocorax auritus,Piscivore,
Brandt's Cormorant,Phalacrocorax penicillatus,Piscivore,
Pelagic Cormorant,Phalacrocorax pelagicus,Piscivore,
American White Pelican,Pelecanus erythrorhynchos,Piscivore,
Brown Pelican,Pelecanus occidentalis,Piscivore,
Common Merganser,Mergus merganser,Piscivore,
Merganser,Mergus spp.,Piscivore,
Red-breasted Merganser,Mergus serrator,Piscivore,
Hooded Merganser,Lophodytes cucullatus,Piscivore,
Mallard,Anas platyrhynchos,Omnivore,
Gadwall,Mareca strepera,Herbivore,
Eurasian Wigeon,Mareca penelope,Herbivore,
American Wigeon,Mareca americana,Herbivore,
Green-winged Teal,Anas crecca,Omnivore,
Unidentified Teal,Anatinae spp.,Omnivore,
Cinnamon Teal,Spatula cyanoptera,Omnivore,
Northern Shoveler,Spatula clypeata,Omnivore,
Northern Pintail,Anas acuta,Herbivore,
Wood Duck,Aix sponsa,Herbivore,
Redhead,Aythya americana,Diving benthivore,
Canvasback,Aythya valisineria,Diving benthivore,
Greater Scaup,Aythya marila,Diving benthivore,
Scaup,Aythya spp.,Diving benthivore,
Lesser Scaup,Aythya affinis,Diving benthivore,
Ring-necked Duck,Aythya collaris,Diving benthivore,
Common Goldeneye,Bucephala clangula,Diving benthivore,
Barrow's Goldeneye,Bucephala islandica,Diving benthivore,
Bufflehead,Bucephala albeola,Diving benthivore,
Long-tailed Duck,Clangula hyemalis,Diving benthivore,
Harlequin Duck,Histrionicus histrionicus,Diving benthivore,
King Eider,Somateria spectabilis,Diving benthivore,
Black Scoter,Melanitta americana,Diving benthivore,
Scoter,Melanitta spp.,Diving benthivore,
White-winged Scoter,Melanitta deglandi,Diving benthivore,
Surf Scoter,Melanitta perspicillata,Diving benthivore,
Ruddy Duck,Oxyura jamaicensis,Diving benthivore,
Ross's Goose,Anser rossii,Herbivore,
Greater White-fronted Goose,Anser albifrons,Herbivore,
Canada Goose,Branta canadensis,Herbivore,
Black Brant,Branta bernicla nigricans,Herbivore,
Mute Swan,Cygnus olor,Herbivore,
Great Blue Heron,Ardea herodias,Piscivore,
Great Egret,Ardea alba,Piscivore,
Snowy Egret,Egretta thula,Piscivore,
Black-crowned Night-Heron,Nycticorax nycticorax,Piscivore,
Common Gallinule,Gallinula galeata,Herbivore,
American Coot,Fulica americana,Herbivore,
Red Phalarope,Phalaropus fulicarius,Planktivore,
Northern Harrier,Circus hudsonius,,
Peregrine Falcon,Falco peregrinus,,
Osprey,Pandion haliaetus,,
Belted Kingfisher,Megaceryle alcyon,,
Coot/Scaup/Bufflehead,,,
Pigeon Guillemot,Cepphus columba,Diving benthivore,
